id,donorid,isanonymous,amount,dononame,frequency,comments,donodate
0,3518,t,"$8,314.00",Xavier Kirkland,weekly,"ipsum porta elit, a",2020-07-21
1,3464,f,$346.00,Darius Erickson,one-time,"Aliquam tincidunt, nunc ac",2020-01-05
2,5006,f,"$8,696.00",Raphael Vaughan,weekly,justo,2021-10-11
3,4736,t,"$4,514.00",Mercedes Lewis,weekly,nec metus facilisis lorem tristique,2018-08-05
4,4297,t,"$3,968.00",Selma Thompson,weekly,leo.,2022-09-20
5,6143,f,"$6,928.00",Hannah Kirkland,weekly,Maecenas,2020-09-28
6,2063,t,"$4,543.00",Asher Hawkins,weekly,commodo auctor velit. Aliquam,2016-08-03
7,7402,f,"$5,962.00",Maryam Barber,monthly,congue,2016-03-06
8,3572,t,"$1,912.00",Dale Floyd,one-time,"ac, eleifend",2021-11-28
9,4003,t,"$7,464.00",Charde Coleman,monthly,eu erat semper,2019-07-04
10,5897,t,"$6,776.00",Ignacia Reese,weekly,"parturient montes, nascetur ridiculus",2016-12-25
11,4392,f,"$6,893.00",Lydia Zamora,monthly,"quam, elementum at, egestas",2018-01-06
12,1706,f,$431.00,Mohammad Langley,weekly,Cum sociis,2019-08-07
13,6762,f,"$7,593.00",Asher Conner,weekly,Nam interdum enim non,2021-10-20
14,85,t,"$8,864.00",Minerva Massey,weekly,"nunc est, mollis non,",2018-09-08
15,5326,t,"$9,874.00",Ralph Chandler,weekly,pellentesque,2018-04-14
16,1353,f,"$3,585.00",Juliet Hill,weekly,,2017-07-29
17,2080,f,"$9,676.00",Wade Fernandez,one-time,Donec,2019-02-10
18,4393,f,"$4,679.00",Urielle Tucker,one-time,in sodales elit erat vitae,2017-10-13
19,2647,f,"$1,032.00",Freya Waller,monthly,odio sagittis semper. Nam,2019-02-19
20,1230,t,"$4,793.00",Dawn Dillard,weekly,Curabitur ut,2019-07-23
21,7844,t,"$2,982.00",Melanie Lewis,monthly,Phasellus fermentum,2016-08-23
22,672,f,"$4,142.00",Ann Townsend,weekly,,2016-04-23
23,5611,t,"$2,145.00",Aphrodite Wilkins,one-time,,2019-09-18
24,6013,f,"$3,600.00",Ulysses Waters,one-time,pede. Nunc sed,2022-04-26
25,3778,f,"$8,121.00",Brielle Walker,weekly,erat. Sed nunc,2022-07-24
26,7101,t,$272.00,Randall Conrad,weekly,nonummy,2019-02-17
27,5917,t,"$8,636.00",Lee Best,weekly,orci luctus et ultrices posuere,2016-08-21
28,4377,t,"$5,678.00",Orson Estrada,one-time,Aliquam gravida,2022-10-22
29,2714,t,$281.00,Daryl Church,weekly,vel,2017-01-01
30,6252,f,$313.00,Griffin Cline,monthly,"lobortis quis,",2019-03-24
